region1,region2,ratio,common,first
Argentina,Iran,0,0,0
Iran,Argentina,0,0,0
Argentina,Israel,0.14285714285714285,1,1
Israel,Argentina,0.03571428571428571,1,0
Argentina,Italy,0.42857142857142855,3,2
Italy,Argentina,0.05,3,1
Argentina,Japan,0,0,0
Japan,Argentina,0,0,0
Argentina,Malaysia,0,0,0
Malaysia,Argentina,0,0,0
Argentina,Mexico,0.14285714285714285,1,1
Mexico,Argentina,0.5,1,0
Argentina,Mongolia,0,0,0
Mongolia,Argentina,0,0,0
Argentina,Netherlands,0.14285714285714285,1,1
Netherlands,Argentina,0.022727272727272728,1,0
Argentina,Norway,0.14285714285714285,1,1
Norway,Argentina,0.05,1,0
Argentina,Poland,0.14285714285714285,1,1
Poland,Argentina,0.0043859649122807015,1,0
Argentina,Portugal,0,0,0
Portugal,Argentina,0,0,0
Argentina,Romania,0,0,0
Romania,Argentina,0,0,0
Argentina,Singapore,0,0,0
Singapore,Argentina,0,0,0
Argentina,South Korea,0,0,0
South Korea,Argentina,0,0,0
Argentina,Spain,0,0,0
Spain,Argentina,0,0,0
Argentina,Sweden,0.14285714285714285,1,0
Sweden,Argentina,0.022727272727272728,1,1
Argentina,Switzerland,0,0,0
Switzerland,Argentina,0,0,0
Argentina,Turkey,0.14285714285714285,1,1
Turkey,Argentina,0.03225806451612903,1,0
Argentina,UK,0.42857142857142855,3,0
UK,Argentina,0.09375,3,3
Argentina,USA,0.14285714285714285,1,0
USA,Argentina,0.02631578947368421,1,1
Argentina,USSR-altaji,0,0,0
USSR-altaji,Argentina,0,0,0
Argentina,USSR-azerbajdzsán,0.14285714285714285,1,1
USSR-azerbajdzsán,Argentina,0.14285714285714285,1,0
Argentina,USSR-csuvas,0,0,0
USSR-csuvas,Argentina,0,0,0
Argentina,USSR-fehérorosz,0,0,0
USSR-fehérorosz,Argentina,0,0,0
Argentina,USSR-finn,0,0,0
USSR-finn,Argentina,0,0,0
Argentina,USSR-grúz,0,0,0
USSR-grúz,Argentina,0,0,0
Argentina,USSR-kazah,0,0,0
USSR-kazah,Argentina,0,0,0
Argentina,USSR-kirgiz,0,0,0
USSR-kirgiz,Argentina,0,0,0
Argentina,USSR-lett,0,0,0
USSR-lett,Argentina,0,0,0
Argentina,USSR-litván,0.14285714285714285,1,1
USSR-litván,Argentina,0.027777777777777776,1,0
Argentina,USSR-moldva,0,0,0
USSR-moldva,Argentina,0,0,0
Argentina,USSR-orosz,0.14285714285714285,1,1
USSR-orosz,Argentina,0.004830917874396135,1,0
Argentina,USSR-tadzsik,0.14285714285714285,1,1
USSR-tadzsik,Argentina,0.2,1,0
Argentina,USSR-türkmén,0.14285714285714285,1,1
USSR-türkmén,Argentina,0.25,1,0
Argentina,USSR-udmurt,0,0,0
USSR-udmurt,Argentina,0,0,0
Argentina,USSR-ukrán,0.14285714285714285,1,1
USSR-ukrán,Argentina,0.017857142857142856,1,0
Argentina,USSR-észt,0,0,0
USSR-észt,Argentina,0,0,0
Argentina,USSR-örmény,0,0,0
USSR-örmény,Argentina,0,0,0
Argentina,USSR-üzbég,0,0,0
USSR-üzbég,Argentina,0,0,0
Argentina,Venezuela,0,0,0
Venezuela,Argentina,0,0,0
Argentina,Vietnam,0,0,0
Vietnam,Argentina,0,0,0
Argentina,Yugoslavia,0.14285714285714285,1,1
Yugoslavia,Argentina,0.0078125,1,0
Australia,Australia,NA,NA,NA
Australia,Austria,0.2,1,1
Austria,Australia,0.014492753623188406,1,0
Australia,Belgium,0.2,1,1
Belgium,Australia,0.038461538461538464,1,0
Australia,Brasil,0.2,1,0.5
Brasil,Australia,0.16666666666666666,1,0.5
Australia,Bulgaria,0,0,0
Bulgaria,Australia,0,0,0
Australia,Canada,0,0,0
Canada,Australia,0,0,0
Australia,Chile,0,0,0
Chile,Australia,0,0,0
Australia,China,0,0,0
China,Australia,0,0,0
Australia,Colombia,0,0,0
Colombia,Australia,0,0,0
Australia,Cuba,0,0,0
Cuba,Australia,0,0,0
Australia,Czechoslovakia-cseh,0.2,1,1
Czechoslovakia-cseh,Australia,0.004201680672268907,1,0
Australia,Czechoslovakia-szlovák,0.2,1,0
Czechoslovakia-szlovák,Australia,0.003484320557491289,1,1
Australia,Denmark,0,0,0
Denmark,Australia,0,0,0
Australia,Egypt,0,0,0
Egypt,Australia,0,0,0
Australia,Federal Republic of Germany,0.2,1,0
Federal Republic of Germany,Australia,0.006097560975609756,1,1
Australia,Finland,0.2,1,1
Finland,Australia,0.022727272727272728,1,0
Australia,France,0.2,1,0
France,Australia,0.010752688172043012,1,1
Australia,GDR,0,0,0
GDR,Australia,0,0,0
Australia,Greece,0,0,0
Greece,Australia,0,0,0
Australia,Hungary,0.2,1,0
Hungary,Australia,0.006896551724137931,1,1
Australia,India,0,0,0
India,Australia,0,0,0
Australia,Iran,0,0,0
Iran,Australia,0,0,0
Australia,Israel,0.2,1,1
Israel,Australia,0.03571428571428571,1,0
Australia,Italy,0.2,1,1
Italy,Australia,0.016666666666666666,1,0
Australia,Japan,0.2,1,1
Japan,Australia,0.058823529411764705,1,0
Australia,Malaysia,0,0,0
Malaysia,Australia,0,0,0
Australia,Mexico,0,0,0
Mexico,Australia,0,0,0
Australia,Mongolia,0,0,0
Mongolia,Australia,0,0,0
Australia,Netherlands,0.2,1,1
Netherlands,Australia,0.022727272727272728,1,0
Australia,Norway,0.4,2,2
Norway,Australia,0.1,2,0
Australia,Poland,0.2,1,1
Poland,Australia,0.0043859649122807015,1,0
Australia,Portugal,0,0,0
Portugal,Australia,0,0,0
Australia,Romania,0.2,1,1
Romania,Australia,0.006289308176100629,1,0
Australia,Singapore,0,0,0
Singapore,Australia,0,0,0
Australia,South Korea,0,0,0
South Korea,Australia,0,0,0
Australia,Spain,0,0,0
Spain,Australia,0,0,0
Australia,Sweden,0.2,1,1
Sweden,Australia,0.022727272727272728,1,0
Australia,Switzerland,0,0,0
Switzerland,Australia,0,0,0
Australia,Turkey,0.4,2,1
Turkey,Australia,0.06451612903225806,2,1
Australia,UK,0,0,0
UK,Australia,0,0,0
Australia,USA,0.2,1,1
USA,Australia,0.02631578947368421,1,0
Australia,USSR-altaji,0,0,0
USSR-altaji,Australia,0,0,0
Australia,USSR-azerbajdzsán,0,0,0
USSR-azerbajdzsán,Australia,0,0,0
Australia,USSR-csuvas,0,0,0
USSR-csuvas,Australia,0,0,0
Australia,USSR-fehérorosz,0,0,0
USSR-fehérorosz,Australia,0,0,0
Australia,USSR-finn,0,0,0
USSR-finn,Australia,0,0,0
Australia,USSR-grúz,0.2,1,1
USSR-grúz,Australia,0.038461538461538464,1,0
Australia,USSR-kazah,0,0,0
USSR-kazah,Australia,0,0,0
Australia,USSR-kirgiz,0,0,0
USSR-kirgiz,Australia,0,0,0
Australia,USSR-lett,0,0,0
USSR-lett,Australia,0,0,0
Australia,USSR-litván,0,0,0
USSR-litván,Australia,0,0,0
Australia,USSR-moldva,0,0,0
USSR-moldva,Australia,0,0,0
Australia,USSR-orosz,0.2,1,1
USSR-orosz,Australia,0.004830917874396135,1,0
Australia,USSR-tadzsik,0,0,0
USSR-tadzsik,Australia,0,0,0
Australia,USSR-türkmén,0,0,0
USSR-türkmén,Australia,0,0,0
Australia,USSR-udmurt,0,0,0
USSR-udmurt,Australia,0,0,0
Australia,USSR-ukrán,0.2,1,1
USSR-ukrán,Australia,0.017857142857142856,1,0
Australia,USSR-észt,0,0,0
USSR-észt,Australia,0,0,0
Australia,USSR-örmény,0,0,0
USSR-örmény,Australia,0,0,0
Australia,USSR-üzbég,0,0,0
USSR-üzbég,Australia,0,0,0
Australia,Venezuela,0,0,0
Venezuela,Australia,0,0,0
Australia,Vietnam,0,0,0
Vietnam,Australia,0,0,0
Australia,Yugoslavia,0.2,1,1
Yugoslavia,Australia,0.0078125,1,0
Austria,Austria,NA,NA,NA
Austria,Belgium,0.11594202898550725,8,3.5
Belgium,Austria,0.3076923076923077,8,4.5
Austria,Brasil,0.043478260869565216,3,1
Brasil,Austria,0.5,3,2
Austria,Bulgaria,0.11594202898550725,8,3.5
Bulgaria,Austria,0.07407407407407407,8,4.5
Austria,Canada,0,0,0
Canada,Austria,0,0,0
Austria,Chile,0.014492753623188406,1,1
Chile,Austria,0.5,1,0
Austria,China,0.028985507246376812,2,2
China,Austria,0.07142857142857142,2,0
Austria,Colombia,0.014492753623188406,1,0
Colombia,Austria,1,1,1
Austria,Cuba,0,0,0
Cuba,Austria,0,0,0
Austria,Czechoslovakia-cseh,0.14492753623188406,10,8
Czechoslovakia-cseh,Austria,0.04201680672268908,10,2
Austria,Czechoslovakia-szlovák,0.11594202898550725,8,4.5
Czechoslovakia-szlovák,Austria,0.027874564459930314,8,3.5
Austria,Denmark,0.028985507246376812,2,2
Denmark,Austria,0.125,2,0
Austria,Egypt,0,0,0
Egypt,Austria,0,0,0
Austria,Federal Republic of Germany,0.30434782608695654,21,12
Federal Republic of Germany,Austria,0.12804878048780488,21,9
Austria,Finland,0.14492753623188406,10,4
Finland,Austria,0.22727272727272727,10,6
Austria,France,0.15942028985507245,11,3
France,Austria,0.11827956989247312,11,8
Austria,GDR,0.13043478260869565,9,7.5
GDR,Austria,0.035856573705179286,9,1.5
Austria,Greece,0.014492753623188406,1,1
Greece,Austria,0.25,1,0
Austria,Hungary,0.08695652173913043,6,4.5
Hungary,Austria,0.041379310344827586,6,1.5
Austria,India,0,0,0
India,Austria,0,0,0
Austria,Iran,0,0,0
Iran,Austria,0,0,0
Austria,Israel,0.043478260869565216,3,2
Israel,Austria,0.10714285714285714,3,1
Austria,Italy,0.10144927536231885,7,4.5
Italy,Austria,0.11666666666666667,7,2.5
Austria,Japan,0.028985507246376812,2,1
Japan,Austria,0.11764705882352941,2,1
Austria,Malaysia,0,0,0
Malaysia,Austria,0,0,0
Austria,Mexico,0.014492753623188406,1,1
Mexico,Austria,0.5,1,0
Austria,Mongolia,0,0,0
Mongolia,Austria,0,0,0
Austria,Netherlands,0.14492753623188406,10,6
Netherlands,Austria,0.22727272727272727,10,4
Austria,Norway,0.014492753623188406,1,0
Norway,Austria,0.05,1,1
Austria,Poland,0.17391304347826086,12,9
Poland,Austria,0.05263157894736842,12,3
Austria,Portugal,0,0,0
Portugal,Austria,0,0,0
Austria,Romania,0.11594202898550725,8,5.5
Romania,Austria,0.050314465408805034,8,2.5
Austria,Singapore,0,0,0
Singapore,Austria,0,0,0
Austria,South Korea,0,0,0
South Korea,Austria,0,0,0
Austria,Spain,0.2898550724637681,20,14
Spain,Austria,0.29411764705882354,20,6
Austria,Sweden,0.07246376811594203,5,3
Sweden,Austria,0.11363636363636363,5,2
Austria,Switzerland,0.07246376811594203,5,3
Switzerland,Austria,0.21739130434782608,5,2
Austria,Turkey,0.043478260869565216,3,2
Turkey,Austria,0.0967741935483871,3,1
Austria,UK,0.057971014492753624,4,2
UK,Austria,0.125,4,2
Austria,USA,0.043478260869565216,3,2
USA,Austria,0.07894736842105263,3,1
Austria,USSR-altaji,0,0,0
USSR-altaji,Austria,0,0,0
Austria,USSR-azerbajdzsán,0,0,0
USSR-azerbajdzsán,Austria,0,0,0
Austria,USSR-csuvas,0,0,0
USSR-csuvas,Austria,0,0,0
Austria,USSR-fehérorosz,0,0,0
USSR-fehérorosz,Austria,0,0,0
Austria,USSR-finn,0,0,0
USSR-finn,Austria,0,0,0
Austria,USSR-grúz,0.028985507246376812,2,2
USSR-grúz,Austria,0.07692307692307693,2,0
Austria,USSR-kazah,0.014492753623188406,1,1
USSR-kazah,Austria,0.125,1,0
Austria,USSR-kirgiz,0,0,0
USSR-kirgiz,Austria,0,0,0
Austria,USSR-lett,0.028985507246376812,2,2
USSR-lett,Austria,0.07407407407407407,2,0
Austria,USSR-litván,0.043478260869565216,3,1
USSR-litván,Austria,0.08333333333333333,3,2
Austria,USSR-moldva,0.014492753623188406,1,0
USSR-moldva,Austria,0.125,1,1
Austria,USSR-orosz,0.057971014492753624,4,2
USSR-orosz,Austria,0.01932367149758454,4,2
Austria,USSR-tadzsik,0,0,0
USSR-tadzsik,Austria,0,0,0
Austria,USSR-türkmén,0,0,0
USSR-türkmén,Austria,0,0,0
Austria,USSR-udmurt,0,0,0
USSR-udmurt,Austria,0,0,0
Austria,USSR-ukrán,0.057971014492753624,4,3
USSR-ukrán,Austria,0.07142857142857142,4,1
Austria,USSR-észt,0.043478260869565216,3,1.5
USSR-észt,Austria,0.1,3,1.5
Austria,USSR-örmény,0.014492753623188406,1,0
USSR-örmény,Austria,0.0625,1,1
Austria,USSR-üzbég,0.014492753623188406,1,1
USSR-üzbég,Austria,0.125,1,0
Austria,Venezuela,0,0,0
Venezuela,Austria,0,0,0
Austria,Vietnam,0.014492753623188406,1,1
Vietnam,Austria,0.3333333333333333,1,0
Austria,Yugoslavia,0.2318840579710145,16,12
Yugoslavia,Austria,0.125,16,4
Belgium,Belgium,NA,NA,NA
Belgium,Brasil,0.07692307692307693,2,1
Brasil,Belgium,0.3333333333333333,2,1
Belgium,Bulgaria,0.15384615384615385,4,2
Bulgaria,Belgium,0.037037037037037035,4,2
Belgium,Canada,0,0,0
Canada,Belgium,0,0,0
Belgium,Chile,0,0,0
Chile,Belgium,0,0,0
Belgium,China,0.038461538461538464,1,0
China,Belgium,0.03571428571428571,1,1
Belgium,Colombia,0,0,0
Colombia,Belgium,0,0,0
Belgium,Cuba,0.038461538461538464,1,0
Cuba,Belgium,0.2,1,1
Belgium,Czechoslovakia-cseh,0.34615384615384615,9,4
Czechoslovakia-cseh,Belgium,0.037815126050420166,9,5
Belgium,Czechoslovakia-szlovák,0.3076923076923077,8,2
Czechoslovakia-szlovák,Belgium,0.027874564459930314,8,6
Belgium,Denmark,0.038461538461538464,1,0.5
Denmark,Belgium,0.0625,1,0.5
Belgium,Egypt,0,0,0
Egypt,Belgium,0,0,0
Belgium,Federal Republic of Germany,0.5384615384615384,14,5
Federal Republic of Germany,Belgium,0.08536585365853659,14,9
Belgium,Finland,0.23076923076923078,6,2.5
Finland,Belgium,0.13636363636363635,6,3.5
Belgium,France,0.38461538461538464,10,2
France,Belgium,0.10752688172043011,10,8
Belgium,GDR,0.3076923076923077,8,4
GDR,Belgium,0.03187250996015936,8,4
Belgium,Greece,0.038461538461538464,1,1
Greece,Belgium,0.25,1,0
Belgium,Hungary,0.2692307692307692,7,4
Hungary,Belgium,0.04827586206896552,7,3
Belgium,India,0,0,0
India,Belgium,0,0,0
Belgium,Iran,0,0,0
Iran,Belgium,0,0,0
Belgium,Israel,0.11538461538461539,3,2
Israel,Belgium,0.10714285714285714,3,1
Belgium,Italy,0.34615384615384615,9,5.5
Italy,Belgium,0.15,9,3.5
Belgium,Japan,0.038461538461538464,1,1
Japan,Belgium,0.058823529411764705,1,0
Belgium,Malaysia,0,0,0
Malaysia,Belgium,0,0,0
Belgium,Mexico,0.038461538461538464,1,0
Mexico,Belgium,0.5,1,1
Belgium,Mongolia,0,0,0
Mongolia,Belgium,0,0,0
Belgium,Netherlands,0.3076923076923077,8,5.5
Netherlands,Belgium,0.18181818181818182,8,2.5
Belgium,Norway,0.11538461538461539,3,2
Norway,Belgium,0.15,3,1
Belgium,Poland,0.38461538461538464,10,4.5
Poland,Belgium,0.043859649122807015,10,5.5
Belgium,Portugal,0.038461538461538464,1,1
Portugal,Belgium,0.25,1,0
Belgium,Romania,0.23076923076923078,6,2
Romania,Belgium,0.03773584905660377,6,4
Belgium,Singapore,0,0,0
Singapore,Belgium,0,0,0
Belgium,South Korea,0,0,0
South Korea,Belgium,0,0,0
Belgium,Spain,0.19230769230769232,5,4
Spain,Belgium,0.07352941176470588,5,1
Belgium,Sweden,0.15384615384615385,4,3.5
Sweden,Belgium,0.09090909090909091,4,0.5
Belgium,Switzerland,0.07692307692307693,2,1.5
Switzerland,Belgium,0.08695652173913043,2,0.5
Belgium,Turkey,0.11538461538461539,3,3
Turkey,Belgium,0.0967741935483871,3,0
Belgium,UK,0.15384615384615385,4,2.5
UK,Belgium,0.125,4,1.5
Belgium,USA,0.15384615384615385,4,3.5
USA,Belgium,0.10526315789473684,4,0.5
Belgium,USSR-altaji,0,0,0
USSR-altaji,Belgium,0,0,0
Belgium,USSR-azerbajdzsán,0,0,0
USSR-azerbajdzsán,Belgium,0,0,0
Belgium,USSR-csuvas,0,0,0
USSR-csuvas,Belgium,0,0,0
Belgium,USSR-fehérorosz,0,0,0
USSR-fehérorosz,Belgium,0,0,0
Belgium,USSR-finn,0,0,0
USSR-finn,Belgium,0,0,0
Belgium,USSR-grúz,0.07692307692307693,2,2
USSR-grúz,Belgium,0.07692307692307693,2,0
Belgium,USSR-kazah,0.07692307692307693,2,1
USSR-kazah,Belgium,0.25,2,1
Belgium,USSR-kirgiz,0,0,0
USSR-kirgiz,Belgium,0,0,0
Belgium,USSR-lett,0.11538461538461539,3,2
USSR-lett,Belgium,0.1111111111111111,3,1
Belgium,USSR-litván,0.11538461538461539,3,1.5
USSR-litván,Belgium,0.08333333333333333,3,1.5
Belgium,USSR-moldva,0.038461538461538464,1,1
USSR-moldva,Belgium,0.125,1,0
Belgium,USSR-orosz,0.19230769230769232,5,3
USSR-orosz,Belgium,0.024154589371980676,5,2
Belgium,USSR-tadzsik,0,0,0
USSR-tadzsik,Belgium,0,0,0
Belgium,USSR-türkmén,0.038461538461538464,1,1
USSR-türkmén,Belgium,0.25,1,0
Belgium,USSR-udmurt,0,0,0
USSR-udmurt,Belgium,0,0,0
Belgium,USSR-ukrán,0.11538461538461539,3,2
USSR-ukrán,Belgium,0.05357142857142857,3,1
Belgium,USSR-észt,0.15384615384615385,4,2
USSR-észt,Belgium,0.13333333333333333,4,2
Belgium,USSR-örmény,0.038461538461538464,1,1
USSR-örmény,Belgium,0.0625,1,0
Belgium,USSR-üzbég,0.038461538461538464,1,1
USSR-üzbég,Belgium,0.125,1,0
Belgium,Venezuela,0,0,0
Venezuela,Belgium,0,0,0
Belgium,Vietnam,0.038461538461538464,1,0
Vietnam,Belgium,0.3333333333333333,1,1
Belgium,Yugoslavia,0.4230769230769231,11,5.5
Yugoslavia,Belgium,0.0859375,11,5.5
Brasil,Brasil,NA,NA,NA
Brasil,Bulgaria,0.16666666666666666,1,0
Bulgaria,Brasil,0.009259259259259259,1,1
Brasil,Canada,0,0,0
Canada,Brasil,0,0,0
Brasil,Chile,0,0,0
Chile,Brasil,0,0,0
Brasil,China,0.16666666666666666,1,0
China,Brasil,0.03571428571428571,1,1
Brasil,Colombia,0.16666666666666666,1,1
Colombia,Brasil,1,1,0
Brasil,Cuba,0,0,0
Cuba,Brasil,0,0,0
Brasil,Czechoslovakia-cseh,0.5,3,2
Czechoslovakia-cseh,Brasil,0.012605042016806723,3,1
Brasil,Czechoslovakia-szlovák,0.5,3,1
Czechoslovakia-szlovák,Brasil,0.010452961672473868,3,2
Brasil,Denmark,0,0,0
Denmark,Brasil,0,0,0
Brasil,Egypt,0,0,0
Egypt,Brasil,0,0,0
Brasil,Federal Republic of Germany,0.3333333333333333,2,0.5
Federal Republic of Germany,Brasil,0.012195121951219513,2,1.5
Brasil,Finland,0.3333333333333333,2,2
Finland,Brasil,0.045454545454545456,2,0
Brasil,France,0.5,3,1
France,Brasil,0.03225806451612903,3,2
Brasil,GDR,0,0,0
GDR,Brasil,0,0,0
Brasil,Greece,0,0,0
Greece,Brasil,0,0,0
Brasil,Hungary,0.16666666666666666,1,1
Hungary,Brasil,0.006896551724137931,1,0
Brasil,India,0,0,0
India,Brasil,0,0,0
Brasil,Iran,0,0,0
Iran,Brasil,0,0,0
Brasil,Israel,0.3333333333333333,2,2
Israel,Brasil,0.07142857142857142,2,0
Brasil,Italy,0.3333333333333333,2,0
Italy,Brasil,0.03333333333333333,2,2
Brasil,Japan,0,0,0
Japan,Brasil,0,0,0
Brasil,Malaysia,0,0,0
Malaysia,Brasil,0,0,0
Brasil,Mexico,0.16666666666666666,1,0
Mexico,Brasil,0.5,1,1
Brasil,Mongolia,0,0,0
Mongolia,Brasil,0,0,0
Brasil,Netherlands,0.16666666666666666,1,1
Netherlands,Brasil,0.022727272727272728,1,0
Brasil,Norway,0.16666666666666666,1,1
Norway,Brasil,0.05,1,0
Brasil,Poland,0.16666666666666666,1,1
Poland,Brasil,0.0043859649122807015,1,0
Brasil,Portugal,0,0,0
Portugal,Brasil,0,0,0
Brasil,Romania,0.16666666666666666,1,0
Romania,Brasil,0.006289308176100629,1,1
Brasil,Singapore,0,0,0
Singapore,Brasil,0,0,0
Brasil,South Korea,0,0,0
South Korea,Brasil,0,0,0
Brasil,Spain,0.3333333333333333,2,2
Spain,Brasil,0.029411764705882353,2,0
Brasil,Sweden,0.3333333333333333,2,2
Sweden,Brasil,0.045454545454545456,2,0
Brasil,Switzerland,0.16666666666666666,1,0
Switzerland,Brasil,0.043478260869565216,1,1
Brasil,Turkey,0.3333333333333333,2,2
Turkey,Brasil,0.06451612903225806,2,0
Brasil,UK,0.16666666666666666,1,0
UK,Brasil,0.03125,1,1
Brasil,USA,0.3333333333333333,2,1
USA,Brasil,0.05263157894736842,2,1
Brasil,USSR-altaji,0,0,0
USSR-altaji,Brasil,0,0,0
Brasil,USSR-azerbajdzsán,0,0,0
USSR-azerbajdzsán,Brasil,0,0,0
Brasil,USSR-csuvas,0,0,0
USSR-csuvas,Brasil,0,0,0
Brasil,USSR-fehérorosz,0,0,0
USSR-fehérorosz,Brasil,0,0,0
Brasil,USSR-finn,0,0,0
