city,year_n,nyelv,works
NA,1971,horvát,99
NA,1971,japán,3
NA,1971,lengyel,537
NA,1971,lett,9
NA,1971,manibuli,15
NA,1971,német,801
NA,1971,olasz,210
NA,1971,örmény,3
NA,1971,orosz,1830
NA,1971,román,648
NA,1971,spanyol,9
NA,1971,svéd,3
NA,1971,szlovák,237
NA,1971,ukrán,3
NA,1971,vend,3
NA,1972,angol,2877
NA,1972,bolgár,213
NA,1972,burmai,12
NA,1972,cseh,21
NA,1972,eszperantó,24
NA,1972,francia,210
NA,1972,grúz,3
NA,1972,holland,4
NA,1972,horvát,187
NA,1972,japán,3
NA,1972,lengyel,204
NA,1972,makedón,315
NA,1972,német,373
NA,1972,olasz,384
NA,1972,örmény,3
NA,1972,orosz,684
NA,1972,román,939
NA,1972,spanyol,63
NA,1972,szlovák,21
NA,1972,szlovén,6
NA,1972,ukrán,453
NA,1973,angol,1107
NA,1973,asszami,24
NA,1973,bolgár,9
NA,1973,cseh,120
NA,1973,eszperantó,90
NA,1973,"eszperantó, német, szerb, szlovák",3
NA,1973,észt,378
NA,1973,finn,84
NA,1973,francia,633
NA,1973,horvát,24
NA,1973,japán,186
NA,1973,lengyel,636
NA,1973,lett,309
NA,1973,litván,60
NA,1973,makedón,6
NA,1973,német,949
NA,1973,norvég,96
NA,1973,olasz,69
NA,1973,örmény,309
NA,1973,orosz,849
NA,1973,román,399
NA,1973,spanyol,174
NA,1973,svéd,207
NA,1973,szerb,42
NA,1973,szlovák,516
NA,1973,tamil,9
NA,1973,török,129
NA,1973,ukrán,6
NA,1973,vend,6
NA,1974,angol,207
NA,1974,bolgár,3
NA,1974,cseh,24
NA,1974,eszperantó,57
NA,1974,finn,27
NA,1974,francia,288
NA,1974,hindi,39
NA,1974,japán,3
NA,1974,lengyel,39
NA,1974,lett,3
NA,1974,német,376
NA,1974,norvég,123
NA,1974,orosz,366
NA,1974,román,90
NA,1974,spanyol,156
NA,1974,svéd,12
NA,1974,szlovák,36
NA,1974,újgörög,3
NA,1974,ukrán,45
NA,1975,angol,54
NA,1975,bolgár,3
NA,1975,dán,12
NA,1975,eszperantó,39
NA,1975,francia,345
NA,1975,lengyel,1098
NA,1975,német,173
NA,1975,norvég,243
NA,1975,olasz,12
NA,1975,örmény,3
NA,1975,orosz,609
NA,1975,román,66
NA,1975,spanyol,196
NA,1975,szlovák,150
NA,1975,udmurt,48
NA,1975,vend,3
NA,1976,angol,201
NA,1976,bolgár,6
NA,1976,cseh,138
NA,1976,dán,3
NA,1976,eszperantó,39
NA,1976,finn,3
NA,1976,flamand,1
NA,1976,francia,249
NA,1976,holland,9
NA,1976,horvát,33
NA,1976,lengyel,39
NA,1976,lett,249
NA,1976,német,342
NA,1976,olasz,54
NA,1976,orosz,393
NA,1976,román,198
NA,1976,spanyol,24
NA,1976,svéd,12
NA,1976,szerb,120
NA,1976,szlovák,801
NA,1976,szlovén,3
NA,1976,török,3
NA,1977,angol,1045
NA,1977,bolgár,204
NA,1977,cseh,78
NA,1977,eszperantó,363
NA,1977,finn,30
NA,1977,francia,1029
NA,1977,grúz,3
NA,1977,héber,3
NA,1977,holland,225
NA,1977,horvát,51
NA,1977,lengyel,402
NA,1977,lett,12
NA,1977,makedón,282
NA,1977,német,763
NA,1977,norvég,9
NA,1977,olasz,126
NA,1977,orosz,510
NA,1977,román,69
NA,1977,spanyol,309
NA,1977,szlovák,69
NA,1977,szlovén,150
NA,1977,ukrán,93
NA,1978,eszperantó,21
NA,1978,francia,999
NA,1978,lengyel,24
NA,1978,német,237
NA,1978,olasz,111
NA,1978,orosz,3
NA,1978,szlovák,105
NA,1979,angol,66
NA,1979,lengyel,6
NA,1982,orosz,NA
NA,1989,orosz,NA
NA,NA,angol,NA
NA,NA,arab,NA
NA,NA,bengáli,NA
NA,NA,bolgár,15
NA,NA,cseh,NA
NA,NA,dán,3
NA,NA,eszperantó,18
NA,NA,észt,NA
NA,NA,finn,12
NA,NA,flamand,6.333333333333333
NA,NA,francia,NA
NA,NA,görög,3
NA,NA,grúz,NA
NA,NA,héber,NA
NA,NA,holland,NA
NA,NA,horvát,27
NA,NA,izlandi,6
NA,NA,japán,NA
NA,NA,jiddis,3
NA,NA,kínai,NA
NA,NA,koreai,NA
NA,NA,latin,3
NA,NA,lengyel,NA
NA,NA,maláj,3
NA,NA,német,NA
NA,NA,olasz,NA
NA,NA,örmény,NA
NA,NA,orosz,NA
NA,NA,pandzsábi,NA
NA,NA,portugál,147
NA,NA,román,60
NA,NA,spanyol,180
NA,NA,svéd,42
NA,NA,szerb,NA
NA,NA,szlovák,NA
NA,NA,török,24
NA,NA,türk,NA
NA,NA,újgörög,NA
