id,author,translator,target_title,target_lang,country,year,place,publisher,pagination,orig_lang,editionstat,orig_title,interm_title,isbn,interm_lang,auth_quality,transl_quality
1,"Ady Endre",,"Vengerskaja celina",Georgian,"USSR (to 1991)",1979,Tbilisi,Nakaduli,"28 p.",Hungarian,,,,,,,
2,"Chatelain Yves; Fodor Ladislaus; Marton George","Leegaard Alf","Horizontal, vertikal: Komödie in 3 Akten",German,Germany,1979,Hamburg,"Vertriebsstelle und Verlag Deutscher Bühnenschriftsteller und Bühnenkomponisten","158 p.",Hungarian,"Unverkäufl. Ms.",,"L'amour instantané",,French,,
3,"Balázs András","Farkas Elek","Control of cell proliferation by endogenous inhibitors",English,"United Kingdom",1978,"Oxford; Oxford","Elsevier; North-Holland","272 p.",Hungarian,,,,,,,
4,"Berkesi András",,"Persten's Pečatkoj",Georgian,"USSR (to 1991)",1979,Tbilisi,"Sabčota Sakartvelo","750 p.",Hungarian,,,,,,,
5,"Berkesi András","Ivanov K.; Oskolkov F.","Svežij veter",Russian,"USSR (to 1991)",1979,Moskva,Voenizdat,"479 p.",Hungarian,,Siratófal,,,,,
6,"Berkes Peter","Bollweg Erika","Schlupfwinkel Grosse Höhle",German,Germany,1979,München,"F. Schneider","157 p. ill.",Hungarian,,"Utánam, srácok!",,,,,
7,"Csak Gyula","Vol'skij Sergej","Vmeste v odinočestve",Russian,"USSR (to 1991)",1979,Moskva,VAAP,"73 p.",Hungarian,,,,,,,
8,"Halasi Maria","Orta Manzano Mariano","La del último banco",Spanish,Spain,1978,Barcelona,Juventud,"173 p. ill.",Hungarian,"2a ed.","Az utólso padban",,,,,
9,"Erkény István","Kiraj M.; Lejbutin Gennadij; Lidin A.",Koški-myški,Russian,"USSR (to 1991)",1979,Moskva,VAAP,"68 p.",Hungarian,,,,,,,
10,"Sik Endre","Peduzzi Luisa; Peduzzi Maria Carla","Storia dell'Africa nera",Italian,Italy,1977,Milano,"La pietra","2 v.",Hungarian,,"Fekete-Afrika története",,,,,
11,"Heimler Eugene","Ungar Andre","Concentration camp",English,"United Kingdom",1979,London,Corgi,"158 p.",Hungarian,,,,,,,
12,"Haszpra Ottó",,"Modelling hydroelastic vibrations",English,"United Kingdom",1979,London,Pitman,"136 p.",Hungarian,,,,,,,
13,"Kiszely István","Simán Catherine","The origins of artificial cranial formation in Eurasia from the sixth millennium B.C. to the seventh century A.D.",English,"United Kingdom",1978,Oxford,"British Archaeological Reports","8, 76, 41 p. ill.",Hungarian,,,,,,,
14,"Konrád György; Szelényi Iván","Allen Richard E.; Arato Andrew","The intellectuals on the road to class power",English,"United Kingdom",1979,Brighton,"Harvester Press","xix, 252 p.",Hungarian,,,,,,,
15,"Halasi Maria","Tumarkina Elena","I vdrug razdalsja zvonok",Russian,"USSR (to 1991)",1979,Moskva,"Detskaja literatura","190 p. ill.",Hungarian,,"Egyszer csar czöngetnek",,,,,
16,"Nemecz Ernö",,"Clay minerals",English,"United Kingdom",1979,Bristol,Hilger,"500 p.",Hungarian,,Agyagásványok,,,,,
17,"Radnoti Miklos","Berg Stephen; Marks S. J.; Polgar Steven","Clouded sky",English,"United Kingdom",1972,London,"Harper & Row","ix, 113 p.",Hungarian,,,,,,,
18,"Radnoti Miklos","Gömöri George; Wilmer Clive","Forced march: selected poems",English,"United Kingdom",1979,Manchester,"Carcanet New Press","62 p.",Hungarian,,,,,,,
19,"Hidas Antal","Martynov L.; et al.","Čtob hlynul svet",Russian,"USSR (to 1991)",1979,Moskva,"Hudožestvennaja literatura","319 p.",Hungarian,,,,,,,
20,"Hidas Antal","Äbílhanov Qabdolla","Marton men onyń dostary",Kazakh,"USSR (to 1991)",1979,Almaty,Žazušy,"568 p.",Hungarian,,,"Marton i ego druz'ja",,Russian,,
21,"Hubay Miklós","Bočarnikova E.; et al.","Škola mužestva",Russian,"USSR (to 1991)",1979,Moskva,Progress,"231 p.",Hungarian,,"Magnificat, avagy a hösiesseg iskolája",,,,,
22,"Illés Endre","Nanovskaja G.","Anonimnye pis'ma",Russian,"USSR (to 1991)",1979,Moskva,VAAP,"95 p.",Hungarian,,,,,,,
23,"Illés Endre","Voronkina Tat'jana I.; et al.",Izbrannoe,Russian,"USSR (to 1991)",1979,Moskva,"Hudožestvennaja literatura","366 p.",Hungarian,,,,,,,
24,"Illyés Gyula","Stefanov Ju.; et al.","Izbrannaja lirika",Russian,"USSR (to 1991)",1979,Moskva,Progress,"352 p.",Hungarian,,,,,,,
25,"Kaffka Margit","Rossijanov O.","Cveta i gody",Russian,"USSR (to 1991)",1979,Moskva,"Hudožestvennaja literatura","236 p. ill.",Hungarian,,"Színek és évek",,,,,
26,"Kántor Zsuzsa","Roška N.","Strada Prater",Moldavian,"USSR (to 1991)",1979,Chişinău,"Literatura artistike̊","166 p. ill.",Hungarian,,,"Ulica Prater",,Russian,,
27,"Kosztolányi Dezső","Pučinskaitė Bronė","Ana Edeš",Lithuanian,"USSR (to 1991)",1979,Vilnius,Vaga,"251 p.",Hungarian,,"Édes Anna",,,,,
28,"Varnusz Egon","Crane Keith; O'Connell Kevin","Selected games of Lajos Portisch",English,"United Kingdom",1979,London,Batsford,"207 p.",Hungarian,,,,,,,
29,"Karinthy Frigyes",,"Bağyšlajyn, dčänab müällim...",Azerbaijani,"USSR (to 1991)",1979,Baku,Gjandžlik,"114 p. ill.",Hungarian,,,"Izvinite, gospodin učitel'",,Russian,,
30,"Illés Béla","Alimov Tŭlqin","Karpat maronasi",Uzbek,"USSR (to 1991)",1979,Taškent,"Izdatel'stvo literatury i iskusstva","639 p.",Hungarian,,,"Karpatskaja rapsodija",,Russian,,
31,"Földeák János","Paŭlav Uladzimir","Čužaja dačka",Belarusian,"USSR (to 1991)",1979,Minsk,"Mastackaja literatura","222 p.",Hungarian,,,"Čužaja doč'",,Russian,,
32,"Prohászka Ottokár",,"Meditations on the Gospels (1:) The nativity and infancy",English,"United Kingdom",1979,London,"Sheed & Ward","viii, 229 p.",Hungarian,,"Elmélkedések az evangéliumról (1)",,,,,
33,"Prohászka Ottokár",,"Meditations on the Gospels (2:) The public ministry",English,"United Kingdom",1979,London,"Sheed & Ward","ix, 322 p.",Hungarian,,"Elmélkedések az evangéliumról (2)",,,,,
34,"Prohászka Ottokár",,"Meditations on the Gospels (3:) The passion, de death and resurrection",English,"United Kingdom",1979,London,"Sheed & Ward","viii, 280 p.",Hungarian,,"Elmélkedések az evangléliumról (3)",,,,,
35,"József Attila","Plasari A.","Shoku pyll, buçit",Albanian,Albania,1979,Tiranë,"Naim Frashëri","100 p.",Hungarian,,,,,,,
36,"Lázár Ervin","Lejbutin Gennadij","Semiglazaja feja",Russian,"USSR (to 1991)",1979,Moskva,VAAP,"65 p.",Hungarian,,,,,,,
37,"Mikes Kelemen","Manteuffel-Szöege Sybille","Briefe aus der Türkei",German,Austria,1978,"Graz, Wien","Verlag Styria","271 p.",Hungarian,,"Törökországi levelelek",,,,,
38,"Mág Bertalan","Šišmonin Ju. I.","Zapiski sledovatelja iz Budapešta",Russian,"USSR (to 1991)",1979,Moskva,"Jurid. lit.","244 p.",Hungarian,,"Nyomon a mág, csoport (extr.)",,,,,
39,"Móricz Zsigmond","Škrobynec' Jurij","Bud' čestnym do samoj smerti",Russian,"USSR (to 1991)",1979,Kyjiv,Veselka,"215 p. ill.",Hungarian,,"Légy Jó mindhalálig",,,,,
40,,"Kasinskaitė A.; Rukšėnaitė Ž.; Vedrickaitė S.","Nuotykiniai užsienio rašytojų kūriniai",Lithuanian,"USSR (to 1991)",1979,Vilnius,Vaga,"383 p.","English; Italian; Hungarian",,,"Priključenčeskie proizvedenija zarubežnyh pisatelej",,Russian,,
41,"Andrásfai Béla","Eisenreich Günther","Mathematisches Mosaik",German,Germany,1977,Köln,"Aulis-Verlag Deubner","318 p. ill.",Hungarian,,"Matematikai érdekességek",,,,,
42,"Petrovácz István",,"Ayd hišarz̧an šabat' orë",Armenian,"USSR (to 1991)",1979,Erevan,"Sovetakan groġ","146 p.",Hungarian,,,,,,,
43,,"Ahmatova Anna; et al.","Poe̊zija sovremennojRumynii",Russian,"USSR (to 1991)",1979,Moskva,"Hudožestvennaja literatura","335 p.","German; Hungarian; Romanian",,,,,,,
44,"Csapody Vera; Jávorka Sándor","Priszter Szaniszló","Ikonographie der Flora des südöstlichen Mitteleuropa; Iconographia florae partis austro-orientalis Europae centralis","German; Latin",Germany,1979,Stuttgart,"S. Fischer","703, 79 p. ill.",Hungarian,,"A magyar flóra képekben",,,,,
45,"Radó Sándor","Bibikov Kostjantyn","Dora povidomljajè...",Ukrainian,"USSR (to 1991)",1979,Užgorod,Karpati,"319 p.",Hungarian,,"Dóra jelenti",,,,,
46,"Radó Sándor","Baumanis A.","Segvārds, Dora",Latvian,"USSR (to 1991)",1979,Rīga,Liesma,"310 p.",Hungarian,,"Dóra jelenti",,,,,
47,"Nemshegyi Peter","Lang Cäcilia","Was Christsein heisst",German,Germany,1979,"Sankt Ottilien",EOS-Verlag,"103 p.",Hungarian,,"Mi a keresztenyseg?",,,,,
48,"Herpy Miklos","Goepel Ernst","Analoge integrierte Schaltungen: e. Lehrbuch, Schaltungen mit Operationsverstärkern und anlogen Multiplizierern zu entwerfen",German,Germany,1979,München,Franzis,"522, 373 p. ill.",Hungarian,"2. Aufl.","Analóg integrált áramkörök",,,,,
49,"Šišmonin Ju.","Atušev Fazyl; Däuitov Qadyr; Smataev Sofy","Venger povesteri",Kazakh,"USSR (to 1991)",1979,Almaty,Žazušy,"414 p. ill.",Hungarian,,,"Vengerskie povesti",,Russian,,
50,"Šišmonin Ju.","Lejbutin Gennadij; et al.","Vengerskie povesti",Russian,"USSR (to 1991)",1979,Moskva,"Mol. gvardija","415 p.",Hungarian,,,,,,,
51,,"Martem'janov Ju.; et al.","Sovremennaja rumynskaja povest'",Russian,"USSR (to 1991)",1979,Moskva,Progress,"510 p.","Hungarian; Romanian",,,,,,,
52,"Urbán Ernö","Savol'skij I.","Utrennjaja zarja",Russian,"USSR (to 1991)",1979,Moskva,Voenizdat,"446 p. ill.",Hungarian,,Pirkadas,,,,,
53,,,"Velikaja Oktjabr'skaja socialističeskaja revoljucija i vengerskajaliteratura",Russian,"USSR (to 1991)",1979,Moskva,Nauka,"301 p.",Hungarian,,"A Nagy Októberi szocialista forradalom és a magyar irodalom",,,,,
54,,,"Howngarakan novelner",Armenian,"USSR (to 1991)",1978,Erevan,"Sovetakan groġ","196 p.",Hungarian,,,,,,,
55,,"Bekišvili Tedo","Vengerskie poe̊ty XX veka",Georgian,"USSR (to 1991)",1979,Tbilisi,"Sabčota Sakartvelo","122 p.",Hungarian,,,,,,,
56,"Haraszti Miklós","Sallay Georg",Stücklohn,German,Germany,1976,Berlin,Rotbuch-Verlag,"118 p.",Hungarian,,Darrabér,,,,,
57,"Zalka Máte","Lytvynenko Jevgen; Popsujenko Jurij","Doberdo; Opovidannja","Ukrainian; Ukrainian","USSR (to 1991)",1979,Kyjiv,Dnipro,"423 p. ill.",Hungarian,,,"Doberdo; Rasskazy",,"Russian; Russian",,
58,"Móricz Zsigmond","Ivaskovyc M.",Rodyči,Ukrainian,"USSR (to 1991)",1979,Kyjiv,Dnipro,"324 p.",Hungarian,,Regények,,,,,
59,"Flesch János","Tomor Béla","Das Mittelspiel im Schach: was d. Amateur vom Mittelspiel wissen sollte, Ratschläge und Beispiele",German,Germany,1979,Stuttgart,Franckh,"80 p.",Hungarian,,,,,,,
60,"Molnár Ferenc","Torberg Friedrich","Panoptikum: e. Spiel in e. Vorspiel und 2. Akten",German,Germany,1979,Charlottenburg,Bloch,"176 p.",Hungarian,,,,,,,
61,"Molnár Ferenc",,"Olympia: Spiel in 3 Akten",German,Germany,1979,"Berlin, Charlottenburg",Bloch,"135 p.",Hungarian,,Olympia,,,,,
62,"Molnár Ferenc",,"Der Schwan: e. Spiel in 3 Akten",German,Germany,1979,"Berlin, Charlottenburg",Bloch,"202 p.",Hungarian,,"A hattyu",,,,,
63,"Barcsay Jenő","Faragó Ádam","Anatomie für Künstler",German,Germany,1978,Wiesbaden,Vollmer,"320, cxlii p. ill.",Hungarian,"5. Aufl.","Müvészeti anatómia",,,,,
64,"Dalos György","Brasch Thomas; Enzensberger Hans Magnus","Meine Lage in der Lage: Gedichte und Geschichten",German,Germany,1979,Berlin,Rotbuch-Verlag,"78 p.",Hungarian,,,,,,,
65,"Száva István","Weissling Heinrich","Die Botschaft von den Sternen: e. Galilei-Roman",German,Germany,1979,Stuttgart,Boje-Verlag,"425 p. ill.",Hungarian,,"A hiúz a napba néz",,,,,
66,"Tallós György","Ozimok N. M.","Rol' bankovskogo kredita v sisteme e̊konomičeskogo upravlenija",Russian,"USSR (to 1991)",1979,Moskva,Finansy,"221 p.",Hungarian,,"A bankhitel szerepe gazdaságiranyizdsi rendszerünkben",,,,,
67,"Ancsel Éva","Bočarnikova E.","Mify potrjasennogo soznanija",Russian,"USSR (to 1991)",1979,Moskva,Politizdat.,"176 p.",Hungarian,,"A megrendült öntudat mítoszai",,,,,
68,"Farkas Endre","Heveši M. A.","Moral' i revoljucionnost'",Russian,"USSR (to 1991)",1979,Moskva,Politizdat.,"168 p.",Hungarian,,"Erkölcs és forradalmiság",,,,,
69,"Vaszary Gábor von","Vaszary Gábor von",Monpti,German,Germany,1979,"Reinbek bei Hamburg",Rowohlt,"218 p.",Hungarian,,Monpti,,,,,
70,"Lakatos Menyhért","Borosch Andreas","Bitterer Rauch",German,Germany,1979,Stuttgart,"Deutsche Verlags-Anstalt","437 p.",Hungarian,,"Füstös Képek",,,,,
71,"Mészöly Miklós","Grosche Hildegard",Rückblenden,German,Germany,1976,München,Hanser,"166 p.",Hungarian,,Film,,,,,
72,"Fehér Géza","Nagy Valér","Türkische Miniaturen: aus d. Chroniken d. ungar. Feldzüge",German,Germany,1978,Wiesbaden,Vollmer,"30, 114 p. ill.",Hungarian,,"Török miniatúrák a magyarországi hódoltság koráról",,,,,
73,"Nádas Péter","Paetzke Hans-Henning","Ende eines Familienromans",German,Germany,1979,"Frankfurt am Main",Suhrkamp,"204 p.",Hungarian,,"Egy családregény vége",,,,,
74,,,"Naukovedenie: problemy razvitija nauki",Russian,"USSR (to 1991)",1979,Moskva,"s. n.","267 p.","Multiple languages; Hungarian; Polish",,,,,,,
75,"Hajnóczi Gábor","Thierry Heribert","Andrea Palladio",German,Germany,1979,"Hanau am Main",Dausien,"160 p. ill.",Hungarian,,"Andrea Palladio",,,,,
76,"Magyar Elek","Rédei Edit","Ungarische Küche aus erster Hand",German,Germany,1978,Fürth,"Quelle International","575 p. ill.",Hungarian,"Genehmigte Exclusivausg.",,,,,,
77,"Széchenyi István","Vojdisek Joseph","Über Pferde, Pferdezucht und Pferderennen",German,Germany,1979,Hildesheim,Olms,"180 p.",Hungarian,Nachdr.,,,,,,
78,"Végh János","Engel Géza","Altniederländische Malerei im 15. [fünfzehnten] Jahrhundert",German,Germany,1978,Bayreuth,Gondrom,"64, 48 p. ill.",Hungarian,,"Németalföld festészete a tizenötödik században",,,,,
79,"Berecz János","Ivanov A.; et al.","O bratskom sojuze",Russian,"USSR (to 1991)",1979,Moskva,Politizdat,"175 p. ill.",Hungarian,,"Boráti Szövetségben",,,,,
80,"Kerekes Lajos","Till Johanna","Von Saint-Germain bis Genf: Österreich und seine Nachbarn 1918-1922",German,Germany,1979,Köln,Böhlau,"415 p.",Hungarian,,,,,,,
81,"Huszár Lajos","Pohl Artur","Münzkatalog Ungarn: von 1000 bis heute",German,Germany,1979,München,Battenberg,"365 p. ill.",Hungarian,,,,,,,
82,"Lutosławski Witold; Varga Bálint András",,"Lutosławski profile: Witold Lutosławski in conversation with bálint András Varga",English,Germany,1976,"Frankfurt am Main",Wilhelmiana-Musikverlag,"57 p.","Hungarian; Polish",,,,,,,
83,"Pálfai János","Jacobs Ariël","Methoden en trainingen in voetbal",Dutch,Belgium,1979,Brakel,"M. Broodcoorens","288 p.",Hungarian,,,"Methods and training sessions in soccer",,English,,
84,,"Gorfan K. L.; Ozimok N. M.","Hozjajstvennyj risk i metody ego izmerenija",Russian,"USSR (to 1991)",1979,Moskva,E̊konomika,"183 p.",Hungarian,,"A gazdasági kockázat és mérésének modzzerei",,,,,
85,"Fried Ervin","Danilov Ju. A.","E̊lementarnoe vvedenie v abstrktnuju algebru",Russian,"USSR (to 1991)",1979,Moskva,Mir,"260 p.",Hungarian,,"Absztrakt algebra, elemi úton",,,,,
86,"Bela Magyari","Fekešgazi I. V.","E̊lementy optoe̊lektroniki i fotoe̊lektričeskoj avtomatiki",Russian,"USSR (to 1991)",1979,Moskva,"Sovetskoe radio","160 p.",Hungarian,,"Optoelektronikai alaktreszek",,,,,
87,"Katyi André","Sims Judi","Angels on Devil's Island",English,Canada,1977,Calgary,"A. Katyi","105 p. ill.",Hungarian,,,,,,,
88,"Faludy György","Colombo John Robert; et al.","East and West: selected poems of George Faludy",English,Canada,1978,Toronto,"Hounslow Press","145 p.",Hungarian,,,,,,,
89,"Buna Béla","Samojlov A. P.","E̊lektronika na avtomobile",Russian,"USSR (to 1991)",1979,Moskva,Transport,"192 p. ill.",Hungarian,,"Elektronika az autóban",,,,,
90,"Rimler Judit","Danilov Ju. A.","E̊konometričeskie metody analiza razvitija",Russian,"USSR (to 1991)",1979,Moskva,Statistika,"239 p.",Hungarian,,"Fejlődéselemzés ökonometriai módszerekkel",,,,,
91,"Portisch Lajos; Sárközy Balázs","Liliental' A.","600 okončanij",Russian,"USSR (to 1991)",1979,Moskva,"Fizkul'tura i sport","237 p. ill.",Hungarian,,"600 végjáték",,,,,
92,"Várnai Ferenc","Fedorov V. I.; Katerušina Z. P.","Put' maoistov",Russian,"USSR (to 1991)",1979,Moskva,Progress,"320 p.",Hungarian,,"A maoisták útja",,,,,
93,,"Krumov G.; et al.","Dăžd po listata na brjasta",Bulgarian,Bulgaria,1979,Sofija,"Narodna mladež","264 p.",Hungarian,,,,,,,
94,"Gál György Sándor","Nikov Boris","Ferenc List",Bulgarian,Bulgaria,1979,Sofija,Muzika,"735 p.",Hungarian,"2e éd.","Liszt Ferenc",,,,,
95,"Gál György Sándor","Nikov Boris","Životăt na Ofenbah",Bulgarian,Bulgaria,1979,Sofija,Muzika,"508 p.",Hungarian,,"Kánkán: Jacques Offenbach élétregénye",,,,,
96,"Déry Tibor","Bánfi András","Kaere svigerfar",Danish,Denmark,1979,København,Gyldendal,"137 p.",Hungarian,,"Kedves bópeer",,,,,
97,"Jókai Mór","Nikov Boris","Žăltata roza",Bulgarian,Bulgaria,1978,Sofija,"Narodna kultura","223 p.",Hungarian,,,,,,,
98,"Kádár János","Dimitrova Julija","Izbrani proizvedenija",Bulgarian,Bulgaria,1979,Sofija,Partizdat,"516 p.",Hungarian,,,,,,,
99,"Kosztolányi Dezső","Najdenova Jonka",Čučuligata,Bulgarian,Bulgaria,1979,Sofija,"Narodna kultura","231 p.",Hungarian,,Pacsirta,,,,,
100,"Móricz Zsigmond","Atanasova Nikolina; et al.","Nebesna ptica",Bulgarian,Bulgaria,1979,Sofija,"Narodna kultura","266 p.",Hungarian,,,,,,,
101,"Bartók Béla","Calvocoressi M. D.","Hungarian folk music",English,"United States of America",1979,"Westport, CONN","Hyperion Press","218, 87 p. ill.",Hungarian,Reprint,"A magyar népdal",,,,,
102,"Alföldi András","Mattingly Harold","A conflict of ideas in the late Roman Empire: the clash between the Senate and Valentinian I",English,"United States of America",1979,"Westport, CONN","Greenwood Press","vi, 151 p.",Hungarian,Reprint,,,,,,
103,"Alföldi András","Mattingly Harold","A conflict of ideas in the late Roman Empire: the clash between the Senate and Valentinian I",English,"United States of America",1979,"Westport, CONN","Hyperion Press","115 p.",Hungarian,Reprint,,,,,,
104,"Péter Vladimir","Šoršič Gizela","Metali, kamăni, majstori",Bulgarian,Bulgaria,1978,Sofija,"Bălgarski hudožnik","48 p.",Hungarian,,"Fémek, kövek, mesterek",,,,,
105,"Bokorné Szegő Hanna","Simon Sándor","The role of the United Nations in international legislation",English,"United States of America",1978,"New York; New York","Elsevier; North-Holland","191 p.",Hungarian,,"Az ENSZ helye a nemzetközi jogalkotásban",,,,,
106,"Somogyi Toth Sándor","Atanasova Nikolina","Detsko ogledalo",Bulgarian,Bulgaria,1979,Sofija,"Narodna kultura","155 p.",Hungarian,,Gyerektükör,,,,,
107,"Csanádi Árpád","Butykai István; Coutts Charles; Gulyás Gyula","Soccer: technique-tactics-coaching",English,"United States of America",1979,"New Rochelle, N.Y.","Sport shelf","685 p. ill.",Hungarian,"3d, rev. ed.",Labdarúgás,,,,,
108,,"Nikolov N.; et al.","Ungarski poeti",Bulgarian,Bulgaria,1978,Sofija,"Narodna kultura","448 p.",Hungarian,,,,,,,
109,"Sütö András","Kamenova Katja","Lek săn mi obešta mama",Bulgarian,Bulgaria,1979,Sofija,"Narodna kultura","304 p.",Hungarian,,"Anyám könnyű álmot igér",,,,,
110,"Földeák Walter Árpád","Bochkor Jenö; Clarke Peter H.; Ejury Robert","Chess Olympiads, 1927-1968",English,"United States of America",1979,"New York","Dover Publications","416 p. ill.",Hungarian,Reprint,,,,,,
111,"Foldvari-Vogl Maria","Balkay Bálint","Theory and practice of regional geochemical exploration",English,"United States of America",1978,"New York","International Publications Service Collings","272 p.",Hungarian,,,,,,,
112,"Magyar Nemzeti Múzeum","Hoch Elisabeth","The Hungarian National Museum: published for the 175th anniversary of the Museum",English,"United States of America",1978,"New York","International Publications Service","351 p. ill.",Hungarian,,"A Magyar Nemzeti Múzeum",,,,Budapest,
113,"Heller Ágnes","Allen Richard E.","Renaissance man",English,"United States of America",1978,"Boston, MASS","Routledge & Kegan Paul","vii, 481 p.",Hungarian,,"A reneszánsz ember",,,,,
114,"Hemző Károly","Szőllősy Judy; Vargyas Kató","Hoofbeats; Au galop","English; French","United States of America",1978,"New York","International Publications Service","114 p. ill.",Hungarian,,Lódobogás,,,,,
115,"Katona Imre","Halápy Lili; West Elisabeth","Beakers, cups, goblets: nineteenth century glass in the Budapest Museum of Applied Arts",English,"United States of America",1978,"New York","International Publications Service","48, 24 p. ill.",Hungarian,,,,,,,
116,"Kézdi Árpád",,"Stabilized earth roads",English,"United States of America",1979,"New York; New York","Elsevier; North-Holland","327 p. ill.",Hungarian,,"Stailizált földutak",,,,,
117,"Lontai Endre","Decsényi József; Móra Imre","The research contracts: civil-law means promoting scientific-technical progress",English,"United States of America",1977,"Winchester, MASS","College Marketing Group","235 p.",Hungarian,,"A kutatási szerződések",,,,,
118,"Konrád György; Szelényi Iván","Allen Richard E.; Arato Andrew","The intellectuals on the road to class power",English,"United States of America",1979,"New York","Harcourt Brace Jovanovich","xix, 252 p.",Hungarian,,"Az értlemiség útja az osztályhatalomhoz",,,,,
119,"Szita János","Félix Pál; Ravasz Károly","Perspectives for all-European economic cooperation",English,"United States of America",1977,"Winchester, MASS","College Marketing Group","370 p.",Hungarian,,"Az osszeuropai gazdasagi egyuttmukodes tavlatai",,,,,
120,"Nyilas József","Véges István","Theory and practice of development in the third world",English,"United States of America",1977,"Winchester, MASS","College Marketing Group","298 p.",Hungarian,,"Korunk világgazdagsága",,,,,
121,"Babits Mihály; et al.",,"La République des conseils: Budapest 1919",French,France,1979,Paris,"Éditeurs français réunis","230 p. ill.",Hungarian,,,,,,,
122,"Haraszti Miklós","Aranyossy Georges","Opposition [égal] 0,1; : extraits du samizdat hongrois","French; French",France,1979,Paris,"Éditions du Seuil","168 p.",Hungarian,,,,,,,
123,"Konrád György; Szelényi Iván","Kassai Georges; Kende Pierre","La marche au pouvoir des intellectuels: le cas des pays de l'Est",French,France,1979,Paris,"Éditions du Seuil","249 p.",Hungarian,,,,,,,
124,"Kopácsi Sándor; Tybor",,"Au nom de la classe ouvrière: les mémoires du préfet de police de Budapest en 1956",French,France,1979,Paris,"R. Laffont","246, 12 p. ill.",Hungarian,,,,,,,
125,"Pikler Emmi","Geffre Monique; Szanto Agnès","Se mouvoir en liberté dès le premier âge",French,France,1979,Paris,"Presses universitaires de France","172, xx p. ill.",Hungarian,,"Adatok a csecsemő mozgásának fejlődéséhez",,,,,
126,"Kerékjártó Margit von; et al.","Martínez Millán Luis","Psicología médica",Spanish,Spain,1978,Barcelona,Científico-Médica,"337 p.",Hungarian,,,"Medizinische Psychologie",,German,,
127,"Gelenczei Emil","Orta Manzano Mariano","200 celadas de apertura",Spanish,Spain,1979,Barcelona,"Martínez Roca","158 p. ill.",Hungarian,,"200 Magnyitási sakkcsapda",,,,,
128,"Passuth László","Verdaguer Joaquín","El Dios de la lluvia llora sobre Méjico",Spanish,Spain,1979,Barcelona,"Luis de Caralt","571 p.",Hungarian,"2a ed.","Esöisten siratja Mexicot",,,,,
129,"Petöfi Janos S.; et al.","Albadalejo Mayordomo Tomás","Lingüística del texto y crítica literaria",Spanish,Spain,1979,Madrid,"Alberto Corazón","461 p.",Hungarian,,,,,German,,
130,"Zilahy Lajos","Oliver Brachfeld F.","Las cárceles del alma",Spanish,Spain,1979,Barcelona,"Círculo de lectores","581 p.",Hungarian,,"Két fogoly",,,,,
131,"Babits Mihály","Firon Ilkka",Haikarakalifi,Finnish,Finland,1978,Hämeenlinna,Karisto,"179 p.",Hungarian,,"A golyakalifa",,,,,
132,"Fodor János",,"O zadače Ljapunova o promežutočnoj ustojčivosti po pervomu približeniju",Russian,Hungary,1979,Budapest,Egyetem,"54 p.",Hungarian,,,,,,,
133,"Déry Tibor","Firon-Kivari Ilkka-Attila","Rakas appiukko",Finnish,Finland,1979,Helsinki,Tammi,"150 p.",Hungarian,,"Kedves Bópeer...",,,,,
134,"Illyés Gyula","Metsistö Olavi","Kharonin lautalla",Finnish,Finland,1979,Porvoo,"Werner Söderström","236 p.",Hungarian,,"Kháron ladikján",,,,,
135,"Seventh-day Adventist Church",,"Ustav Severne oblasti Hrišćanske adventističke crkve","Serbo-Croatian (to 1992)","Yugoslavia (to 2002)",1979,Zagreb,"Znaci vremena","32 p.",Hungarian,,,,,,,
136,"Móricz Zsigmond","Koçi A.",Farefisi,Albanian,Albania,1980,Tiranë,"Naim Frashëri","357 p.",Hungarian,,,,,,,
137,,"Atlas Ivan","Projektovanje informacionih sistema","Serbo-Croatian (to 1992)","Yugoslavia (to 2002)",1978,"Novi Sad","Institut za informatiku Univerziteta","ii, 515 p. ill.",Hungarian,,"Szmámitogépes informacio-rendserek fejlesztése",,,,,
138,"Schiller György; Schiller Livia","Horvat Bela; Horvat Mara","Kuharica: Sodoben priročnik za vse, ki radi kuhajo",Slovenian,"Yugoslavia (to 2002)",1978,"Murska Sobota","Pomurska založba","577 p. ill.",Hungarian,,"Mindenki szakácskönyve",,,,,
139,"Ady Endre","Krleža Josip",Pjesme,"Serbo-Croatian (to 1992)","Yugoslavia (to 2002)",1978,Osijek,"Savez Madjara SR Hrvatske","143 p.",Hungarian,,Versek,,,,,
140,"Böndör Pál","Arpad Vecko",Pesme,"Serbo-Croatian (to 1992)","Yugoslavia (to 2002)",1978,Beograd,"Narodna knjiga","247 p. ill.",Hungarian,,Versek,,,,,
141,"Fehér Ferenc","Čudić Predrag","Pesma djaka sa salaša","Serbo-Croatian (to 1992)","Yugoslavia (to 2002)",1979,Beograd,"Nolit, etc.","54 p.",Hungarian,,,,,,,
142,"Szakonyi Károly","Berki-Meïmari Manouela","Diakopī gia technikous logous","Greek, Modern (1453-)",Greece,1979,Athīna,Dōdōnī,"125 p.",Hungarian,,Adáshiba,,,,,
143,"Molnár Ferenc","Nedelkovski Mile","Decata od Pavlova ulica",Macedonian,"Yugoslavia (to 2002)",1978,Skopje,"Naša kniga, etc.","152 p. ill.",Hungarian,,"A Pál utcai fiúk",,,,,
